X,LakeName,SiteID,LakeID,SampleID,SiteType,WaterDepth,TopDepth,BottomDepth,MCfrac,OM,bd,DryMassEq,LooseP,IronP,AlP,LabileOP,CalciumP,TP_ug
1,Five Island,1A,FI,FI1A,Deep,6.2,0,2,0.888077336,18.80998081,1.059232291,0.02500965,222.4841211,380.3531837,92.61309453,237.5765851,53.07096328,1126.856672
2,Five Island,1B,FI,FI1B,Deep,6.2,2,4,0.850309376,17.48807631,1.082260174,0.02456577,251.3863803,415.7207366,80.97244273,241.1024286,39.64044365,1282.12849
3,Five Island,1C,FI,FI1C,Deep,6.2,4,6,0.827563684,17.67676768,1.095718716,0.025429,194.3647017,373.2696921,90.20118289,207.2780784,63.20642772,1094.623327
4,Five Island,1D,FI,FI1D,Deep,6.2,6,8,0.824577433,16.53645833,1.099022902,0.02548562,123.9816806,259.1902806,77.53309317,249.0499,52.4554095,924.3867401
5,Five Island,1E,FI,FI1E,Deep,6.2,8,10,0.791564792,16.61779081,1.11976132,0.02498716,94.98878624,206.8812542,68.31470063,224.7178929,54.20346715,946.1524123
6,Five Island,1F,FI,FI1F,Deep,6.2,10,15,0.780021254,16.42512077,1.127569361,0.025432,100.2280591,267.8220352,81.39866468,270.7762776,49.71694837,906.1631216
7,Five Island,1G,FI,FI1G,Deep,6.2,15,20,0.760419092,15.6462585,1.142030231,0.02506216,111.1935284,263.8439783,82.38964407,290.6316225,61.9987859,813.9197951
8,Five Island,2,FI,FI2,Littoral,1.1,0,10,0.726676863,16.30695444,1.163833741,0.02681073,76.22880839,NA,NA,NA,NA,753.6789687
9,Five Island,3,FI,FI3,Littoral,3.1,0,10,0.810624493,19.27194861,1.103849597,0.02615614,101.7065209,NA,NA,NA,NA,840.9551315
10,Five Island,4,FI,FI4,Littoral,1.7,0,10,0.564427545,9.16585839,1.32183513,0.02517768,71.15429221,NA,NA,NA,NA,1258.893886
11,Five Island,5,FI,FI5,Littoral,6.3,0,10,0.850020859,17.66342142,1.082242212,0.02541,177.7941755,NA,NA,NA,NA,1275.758746
12,Five Island,6,FI,FI6,Littoral,3.5,0,10,0.791859975,21.27659574,1.11214144,0.02526334,105.9935068,NA,NA,NA,NA,921.9722779
13,Five Island,7,FI,FI7,Littoral,2.7,0,10,0.65995116,7.8994614,1.238743455,0.02431,75.44220485,NA,NA,NA,NA,894.478106
14,Five Island,8,FI,FI8,Littoral,3.9,0,10,0.793530626,19.11111111,1.114548709,0.02513105,101.8262269,NA,NA,NA,NA,971.1642799
15,Five Island,9,FI,FI9,Littoral,2.5,0,10,0.807103611,22.68565615,1.101050392,0.02420895,111.343119,NA,NA,NA,NA,857.6953726
16,Five Island,10,FI,FI10,Littoral,1.5,0,10,0.755029847,22.47292419,1.132339631,0.025186,104.6513936,NA,NA,NA,NA,778.8447211
17,Center,1A,CE,CE1A,Deep,4.5,0,2,0.904239294,20.6741573,1.049038846,0.0249559,96.99109229,226.1990151,70.66434515,277.0337711,69.0481082,1256.416219
18,Center,1B,CE,CE1B,Deep,4.5,2,4,0.927429806,33.33333333,1.030685982,0.0251196,119.7570821,481.6706874,162.9645246,599.2659709,122.2734336,NA
