LakeName,SiteID,LakeID,SampleID,SiteType,WaterDepth,TopDepth,BottomDepth,Mcfrac,WetMass,VolNH4Cl,NH4Cl_SRP1,NH4Cl_SRP2,VolBD,BD_SRP1,BD_SRP2,VolNaOH,NaOH_JarTare,NaOH_prePH,NaOH_postPH,NaOH_SRP1,NaOH_SRP2,NaOH_digSRP1,NaOH_digSRP2,VolHCl,HCl_JarTare,HCl_prePH,HCl_postPH,HCl_SRP1,HCl_SRP2
Five Island,1A,FI,FI1A,Deep,6.2,0,2,0.8881,0.2235,0.05,104.97,117.6,0.0125,762.2,759.8,0.025,94.4,118.6,137.5,54.2,50,187.1,184.4,0.025,93.3,115.1,128.8,31.7,33.8
Five Island,1B,FI,FI1B,Deep,6.2,2,4,0.8503,0.1641,0.05,118.37,128.65,0.0125,822.9,811.1,0.025,94.5,117.5,126.1,57.5,58.5,232.2,229.2,0.025,93.2,117.5,126.1,27.7,30.1
Five Island,1C,FI,FI1C,Deep,6.2,4,6,0.8276,0.1475,0.05,93.97,103.73,0.0125,771.3,747.4,0.025,94.4,118.3,127.7,65.2,66.7,223.5,211.5,0.025,93.4,117.1,127.3,44.9,45.4
Five Island,1D,FI,FI1D,Deep,6.2,6,8,0.8246,0.1453,0.05,59.75,66.64,0.0125,536.5,520.4,0.025,93.3,117.5,127.6,55.4,56.3,241.8,228.7,0.025,93.8,118.1,131.8,33.9,34.8
Five Island,1E,FI,FI1E,Deep,6.2,8,10,0.7916,0.1199,0.05,43.02,51.92,0.0125,416.6,410.5,0.025,93.4,118.7,122.6,58.5,60,253.9,254.4,0.025,93.5,117.4,128,36.6,38.8
Five Island,1F,FI,FI1F,Deep,6.2,10,15,0.78,0.1156,0.05,48.6,53.36,0.0125,546.5,543.3,0.025,92.7,117.3,120.4,73.1,74.2,322.1,315.2,0.025,93.2,116.8,133.3,30.9,28.9
Five Island,1G,FI,FI1G,Deep,6.2,15,20,0.7604,0.1046,0.05,51.28,60.19,0.0125,535,523,0.025,93.3,117.5,121.2,70.8,72.7,326.3,323.4,0.025,95.1,119.9,136.5,36.8,38
Five Island,2,FI,FI2,Littoral,1.1,0,10,0.7267,0.0981,0.05,36.97,44.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Five Island,3,FI,FI3,Littoral,3.1,0,10,0.8106,0.1381,0.05,50.6,55.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Five Island,4,FI,FI4,Littoral,1.7,0,10,0.5644,0.0578,0.05,36.3,35.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
