Lake,Site,SampleID,DryMass,TP_JarTare,TP_prePH,TP_Beaker,TP_postPH,TP_VolHCl,TP_DilVol,TP_DilFac,TP1,TP2
NT,1A,NT1A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NT,1B,NT1B,0.0763,92.2,141.9,92.2,153,0.05,0.05,5,0.3513,0.3525
NT,1C,NT1C,0.2771,91.9,141.8,91.9,155,0.05,0.05,8,0.7435,0.7352
NT,1D,NT1D,0.2233,91.4,141.9,91.4,162,0.05,0.05,5,0.7099,0.7454
NT,1E,NT1E,0.2272,91.7,141.1,91.7,146,0.05,0.05,5,0.9619,0.9074
NT,1F,NT1F,0.209,92.2,141.7,92.2,147.9,0.05,0.05,5,0.9128,0.8862
NT,1G,NT1G,0.2167,93.1,143,93.1,160.6,0.05,0.05,5,0.3697,0.3928
NT,2,NT2,0.204,93,142.7,93,156.3,0.05,0.05,5,0.6055,0.5955
NT,3,NT3,0.2139,92,141.8,92,151.1,0.05,0.05,5,0.6993,0.7048
NT,4,NT4,0.2019,92,141.7,92,151,0.05,0.05,5,0.7829,0.7921
NT,5,NT5,0.2155,93,143,89.2,159.9,0.05,0.05,5,0.679,0.6736
NT,6,NT6,0.206,91.6,141.8,65.5,141.8,0.05,0.05,5,0.603,0.5988
NT,7,NT7,0.2102,91.5,141.5,91.5,150.8,0.05,0.05,5,0.734,0.7372
NT,8,NT8,0.2172,92.1,141.7,92.1,143.7,0.05,0.05,5,0.9631,0.9665
NT,9,NT9,0.2043,92.1,142.1,92.1,155.8,0.05,0.05,5,0.7139,0.7174
NT,10,NT10,0.2032,91.7,141.7,91.7,158.8,0.05,0.05,5,0.6175,0.6158
ST,1A,ST1A,0.2442,92,141.8,92,161.7,0.05,0.05,5,0.6498,0.6528
ST,1B,ST1B,0.213,92.1,141.8,65.5,136.3,0.05,0.05,5,0.5667,0.5678
ST,1C,ST1C,0.2183,93,142.9,93,159.6,0.05,0.05,5,0.6378,0.6406
ST,1D,ST1D,0.2129,91.2,141,91.2,154.3,0.05,0.05,5,0.6253,0.633
ST,1E,ST1E,0.2495,93.1,143.3,93.1,158.5,0.05,0.05,5,0.6477,0.6621
ST,1F,ST1F,0.2567,91.7,141.7,91.7,158.9,0.05,0.05,5,0.8819,0.8884
ST,1G,ST1G,0.2152,91.4,141.5,67,140.4,0.05,0.05,5,0.4676,0.4665
ST,2,ST2,0.2174,93,142.4,93,154.5,0.05,0.05,5,0.7429,0.7274
ST,3,ST3,0.2023,91.7,141.5,91.7,162,0.05,0.05,5,0.6183,0.6143
ST,4,ST4,0.2058,93.1,142.7,93.1,152.2,0.05,0.05,5,0.3605,0.3558
ST,5,ST5,0.2102,92,142,88.5,165.6,0.05,0.05,5,0.3161,0.3193
ST,6,ST6,0.2115,93.2,142.7,93.2,148.9,0.05,0.05,5,0.8337,0.818
ST,7,ST7,0.2094,91.5,141.2,91.5,144.9,0.05,0.05,5,0.7746,0.7677
ST,8,ST8,0.2044,91.7,142,89.5,171.6,0.05,0.05,5,0.5277,0.5178
ST,9,ST9,0.2057,92.2,142.2,89.3,162.7,0.05,0.05,5,0.5907,0.5789
ST,10,ST10,0.2146,92.2,142.3,92.2,154.1,0.05,0.05,5,0.7385,0.7283
SW,1A,SW1A,0.0474,91.9,141.9,89.3,163.4,0.05,0.05,5,0.2185,0.2097
SW,1B,SW1B,0.2169,93.2,143,93.2,158.8,0.05,0.05,5,0.9826,0.9929
SW,1C,SW1C,0.2065,91.6,141.7,91.6,151.6,0.05,0.05,5,0.8242,0.8329
SW,1D,SW1D,0.213,93.1,143.3,93.1,153.6,0.05,0.05,5,0.74,0.7443
SW,1E,SW1E,0.2199,91.9,141.9,89.4,172.1,0.05,0.05,5,0.5211,0.5156
SW,1F,SW1F,0.2029,92,141.9,92,156.4,0.05,0.05,5,0.5807,0.5727
SW,1G,SW1G,0.2467,92.4,142.6,88.4,163.8,0.05,0.05,5,0.5506,0.5976
SW,2,SW2,0.2096,92.2,141.5,92.2,160.7,0.05,0.05,5,0.7908,0.7868
SW,3,SW3,0.2161,93.3,142.5,92.7,174.5,0.05,0.05,5,0.4685,0.4656
SW,4,SW4,0.2044,92.4,141.8,65.5,147.1,0.05,0.05,5,0.4655,0.466
