facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,year,doy,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/25/2006 9:00,2006,145,SHALLAKE,TURB,Turbidity,Total,,44.3,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/14/2006 15:00,2006,165,SHALLAKE,TURB,Turbidity,Total,,178,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/29/2006 15:00,2006,180,SHALLAKE,TURB,Turbidity,Total,,49.4,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/12/2006 15:00,2006,193,SHALLAKE,TURB,Turbidity,Total,,42.4,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/26/2006 16:30,2006,207,SHALLAKE,TURB,Turbidity,Total,,42.5,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/10/2006 15:00,2006,222,SHALLAKE,TURB,Turbidity,Total,,41.3,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/21/2006 15:30,2006,233,SHALLAKE,TURB,Turbidity,Total,,35.1,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/12/2006 14:00,2006,255,SHALLAKE,TURB,Turbidity,Total,,88.8,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/27/2006 11:00,2006,270,SHALLAKE,TURB,Turbidity,Total,,22.2,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/31/2007 10:30,2007,151,SHALLAKE,TURB,Turbidity,Total,,41.7,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/31/2007 10:30,2007,151,SHALLAKE,SPEC-COND,Specific conductance,Total,,396,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/31/2007 10:30,2007,151,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,21.7,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/31/2007 10:30,2007,151,SHALLAKE,PH,pH,Total,,9,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/31/2007 10:30,2007,151,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,10.6,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/31/2007 10:30,2007,151,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.3,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/14/2007 15:00,2007,165,SHALLAKE,TURB,Turbidity,Total,,33.9,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/14/2007 15:00,2007,165,SHALLAKE,SPEC-COND,Specific conductance,Total,,347,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/14/2007 15:00,2007,165,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,25.8,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/14/2007 15:00,2007,165,SHALLAKE,PH,pH,Total,,8.8,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/14/2007 15:00,2007,165,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,12,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/28/2007 15:30,2007,179,SHALLAKE,TURB,Turbidity,Total,,32.2,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/28/2007 15:30,2007,179,SHALLAKE,SPEC-COND,Specific conductance,Total,,355,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/28/2007 15:30,2007,179,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,25.8,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/28/2007 15:30,2007,179,SHALLAKE,PH,pH,Total,,8.7,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/28/2007 15:30,2007,179,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,9.7,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/28/2007 15:30,2007,179,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.4,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,TURB,Turbidity,Total,,39.4,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,SPEC-COND,Specific conductance,Total,,416,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,28.8,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,PH,pH,Total,,8.7,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,9.7,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.22,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/23/2007 10:20,2007,204,SHALLAKE,TURB,Turbidity,Total,,24.7,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
