LakeName,SiteID,LakeID,LAT,LONG,WaterDepth,LooseP,TP_ug,LoosePER
Swan,1,SW,42.036782,-94.841889,3,39.88,1164.72,3.423998901
Swan,2,SW,42.03788333,-94.84325,1.9,43.89,1301.37,3.372599645
Swan,3,SW,42.03863333,-94.84473333,1.6,16.12,894.29,1.802547272
Swan,4,SW,42.03808333,-94.84863333,1.5,10.25,936.73,1.094232063
Swan,5,SW,42.03931667,-94.84723333,1.5,29.51,995.11,2.965501301
Swan,6,SW,42.03821667,-94.84188333,2,55.83,1382.65,4.037898239
Swan,7,SW,42.03758333,-94.84051667,1.8,35.24,1208.54,2.915915071
Swan,8,SW,42.03681667,-94.84106667,2.1,40.55,1291.21,3.140465145
Swan,9,SW,42.0345,-94.84166667,2.8,48.98,1332.12,3.67684593
Swan,10,SW,42.03568333,-94.84155,3.3,50.05,1342.37,3.728480225
