SITEALL,Depth_ft,Substrate,Rake_Total,TOTAL,Richness,Emergent_Richness,Submersed_Richness,Floating_Richness,Lemna_spp,Nelumbo_lutea,Stuckenia_pectinata,Potamogeton foliosus,Typha_angustifolia,Equisetum_hyemale,LATUSE,LONGUSE
A1,3,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.04075453,-94.84658665
A2,4.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.04076716,-94.8458017
A3,5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.04077979,-94.84501675
A4,5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.04079241,-94.8442318
A5,5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.04080502,-94.84344685
A6,4.5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.04081763,-94.84266189
A7,5,M,1,1,1,0,1,0,0,0,1,0,0,0,42.04083023,-94.84187694
B10,5,M,0,NA,1,0,0,1,1,0,0,0,0,0,42.0402577,-94.84107509
B9,5.5,M,1,1,2,0,1,1,1,0,1,0,0,0,42.04024511,-94.84186004
B8,5.5,M,3,3,2,0,1,1,1,0,1,0,0,0,42.0402325,-94.84264498
B7,5.5,M,1,1,1,0,1,0,0,0,1,0,0,0,42.04021989,-94.84342993
B6,5.5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.04020728,-94.84421487
B5,5.5,M,1,1,1,0,1,0,0,0,1,0,0,0,42.04019466,-94.84499982
B4,5.5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.04018204,-94.84578476
B3,5,M,2,2,2,0,1,1,0,0,1,0,0,0,42.04016941,-94.8465697
B2,4.5,M,1,1,2,0,1,1,1,0,1,0,0,0,42.04015677,-94.84735465
B1,4,M,0,1,1,0,1,0,1,0,1,0,0,0,42.04014413,-94.84813959
C1,4.5,M,0,1,2,0,1,1,0,0,1,0,0,0,42.03954636,-94.84890756
C2,5.5,M,1,1,1,0,1,0,1,0,1,0,0,0,42.03955901,-94.84812263
C3,5.5,M,3,3,1,0,1,0,0,0,1,0,0,0,42.03957165,-94.84733769
C4,5.5,M,0,NA,1,0,0,0,0,0,0,0,0,0,42.03958428,-94.84655276
C5,5.5,M,2,2,1,0,1,0,0,0,1,0,0,0,42.03959691,-94.84576782
C6,5.5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.03960954,-94.84498288
C7,6,M,2,2,1,0,1,0,0,0,1,0,0,0,42.03962215,-94.84419795
C8,6,M,1,1,1,0,1,0,0,0,1,0,0,0,42.03963477,-94.84341301
C9,6,M,3,3,1,0,1,0,0,0,1,0,0,0,42.03964738,-94.84262807
C10,6,M,1,1,1,0,1,0,0,0,1,0,0,0,42.03965998,-94.84184314
C11,5.5,M,0,NA,1,0,0,1,1,0,0,0,0,0,42.03967258,-94.8410582
D11,6,M,1,1,1,0,1,0,0,0,1,0,0,0,42.03908745,-94.8410413
D10,6.5,M,3,3,1,0,1,0,0,0,1,0,0,0,42.03907485,-94.84182623
D9,6.5,M,2,2,1,0,1,0,0,0,1,0,0,0,42.03906225,-94.84261116
D8,6,M,3,3,1,0,1,0,0,0,1,0,0,0,42.03904964,-94.84339609
D7,6,M,0,1,1,0,1,0,0,0,1,0,0,0,42.03903703,-94.84418102
D6,6,M,2,2,1,0,1,0,0,0,1,0,0,0,42.03902441,-94.84496595
D5,5.5,M,3,3,2,0,1,1,0,1,1,0,0,0,42.03901179,-94.84575088
D4,5.5,M,3,3,2,0,1,1,0,1,1,0,0,0,42.03899916,-94.84653581
D3,5.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.03898652,-94.84732074
D2,5.5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.03897388,-94.84810567
D1,5,M,0,NA,1,0,0,1,1,0,0,0,0,0,42.03896124,-94.84889059
E1,5,M,0,1,1,0,1,0,0,0,1,0,0,0,42.03836346,-94.84965855
E2,5,M,1,1,1,0,1,0,0,0,1,0,0,0,42.03837611,-94.84887363
E3,5.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.03838876,-94.84808871
E4,5.5,M,2,2,1,0,1,0,0,0,1,0,0,0,42.0384014,-94.84730379
E5,5.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.03841403,-94.84651887
E6,5.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.03842666,-94.84573394
E7,5.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.03843929,-94.84494902
E8,5.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.0384519,-94.8441641
E9,6,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.03846452,-94.84337918
E10,7.5,M,0,NA,0,0,0,0,0,0,0,0,0,0,42.03847712,-94.84259425
E11,6.5,M,1,1,1,0,1,0,0,0,1,0,0,0,42.03848973,-94.84180933
E12,6,M,3,3,1,0,1,0,0,0,1,0,0,0,42.03850232,-94.84102441
E13,6,M,0,1,1,0,1,0,0,0,1,0,0,0,42.03851491,-94.84023948
F15,6,M,2,2,1,0,1,0,0,0,1,0,0,0,42.03794237,-94.83943768
