facilityID,siteID,name,sampleDate,year,projectCode,cas_rn,analyte,fraction,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22300010,Center Lake,06/14/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,11.3,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/13/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,111.8,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,08/04/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,22.7,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/16/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,1.2,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/13/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,6.5,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/18/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,142.1,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/22/02,2002,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,4.8,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/19/02,2002,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,36,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/24/02,2002,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,46.3,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/21/03,2003,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,3.1,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/18/03,2003,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,17.7,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/23/03,2003,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,16.7,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/19/04,2004,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,5.3,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/15/04,2004,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,25.8,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/20/04,2004,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,32.5,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/24/05,2005,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,11.8,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/21/05,2005,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,36.3,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/26/05,2005,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,176.2,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/08/06,2006,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,25.5,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/20/06,2006,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,130.7,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/26/06,2006,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,42.8,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/02/09,2009,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,6,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/07/09,2009,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,11,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,08/04/09,2009,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,5,ug/l,FALSE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/02/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,7,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/20/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,6,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,09/02/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,31,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
